热输入,电流,电压,速度,t8/5
0.455,194.4,24,45,2.58
0.483,206.5,24,45,2.72
0.512,218.7,24,45,2.81
0.54,230.8,24,45,3.1
0.568,243,24,45,3.5
0.597,255.1,24,45,3.67
0.625,267.3,24,45,3.91
0.653,279.4,24,45,3.99
0.682,291.6,24,45,4.21
0.557,176,24.6,32,3.29
0.592,187,24.6,32,3.42
0.627,198,24.6,32,3.68
0.662,209,24.6,32,3.77
0.697,220,24.6,32,3.81
0.731,231,24.6,32,4.26
0.766,242,24.6,32,4.43
0.801,253,24.6,32,4.55
0.836,264,24.6,32,4.91
0.489,158.4,24,32,6.78
0.52,168.3,24,32,6.99
0.55,178.2,24,32,7.29
0.581,188.1,24,32,7.54
0.612,198,24,32,7.68
0.642,207.9,24,32,7.99
0.673,217.8,24,32,8.1
0.704,227.7,24,32,8.19
0.734,237.6,24,32,8.56
