热输入,电流,电压,速度,t8/5
0.545,233,24,45,3.4
0.551,235.5,24,45,3.58
0.557,238,24,45,3.69
0.562,240.5,24,45,3.81
0.568,243,24,45,3.97
0.58,248,24,45,4.06
0.592,253,24,45,4.22
0.603,258,24,45,4.39
0.615,263,24,45,4.8
0.642,203,24.6,32,3.44
0.651,205.5,24.6,32,3.54
0.658,208,24.6,32,3.72
0.666,210.5,24.6,32,4
0.674,213,24.6,32,4.12
0.69,218,24.6,32,4.19
0.706,223,24.6,32,4.33
0.722,228,24.6,32,4.57
0.738,233,24.6,32,4.71
0.605,196,24,32,7.14
0.613,198.5,24,32,7.21
0.621,201,24,32,7.34
0.629,203.5,24,32,7.47
0.636,206,24,32,7.59
0.652,211,24,32,7.74
0.667,216,24,32,7.91
0.683,221,24,32,8.07
0.698,226,24,32,8.33
