热输入,电流,电压,速度,t8/5
0.43,184,24,45,2.79
0.457,195.5,24,45,2.98
0.484,207,24,45,3.06
0.511,218.5,24,45,3.29
0.538,230,24,45,3.37
0.565,241.5,24,45,3.99
0.592,253,24,45,4.18
0.619,264.5,24,45,4.23
0.646,276,24,45,4.56
0.532,168,24.6,32,2.94
0.565,178.5,24.6,32,2.99
0.599,189,24.6,32,3.08
0.631,199.5,24.6,32,3.26
0.665,210,24.6,32,3.37
0.698,220.5,24.6,32,3.54
0.731,231,24.6,32,3.77
0.765,241.5,24.6,32,3.85
0.798,252,24.6,32,4.01
0.469,152,24,32,6.98
0.499,161.5,24,32,7.02
0.529,171,24,32,7.4
0.557,180.5,24,32,7.51
0.587,190,24,32,7.58
0.616,199.5,24,32,8.1
0.646,209,24,32,8.29
0.675,218.5,24,32,8.36
0.704,228,24,32,8.54
